target,variable_type,target_mode,equation,sympy_format,complexity,loss,score,holdout_r2,holdout_mae,baseline_holdout_mae,residual_tail_ratio,residual_p99,residual_median,selection_reason,pareto_csv
P2_VT01,sensor,sensors_delta_discrete_persistence,(P2_VYT02 * 0.0532546) - 0.21345252,P2_VYT02*0.0532546 - 1*0.21345252,5.0,0.0013292911,0.1965594915274658,0.2454420626600049,0.032488853453436314,0.03724802142630021,3.283512312662961,0.08918931750639986,0.02716277845599624,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P2_VT01_sensors_delta_discrete_persistence/pareto_front_scored.csv
P2_VXT02,sensor,sensors_delta_discrete_persistence,(P2_VT01 * -3.1447392) - -37.5041,P2_VT01*(-3.1447392) - 1*(-37.5041),5.0,0.034006834,0.2416989056655055,0.5561222878958709,0.14378233976165952,0.2293950028407077,5.603014192803272,0.550863122208651,0.09831549649047844,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P2_VXT02_sensors_delta_discrete_persistence/pareto_front_scored.csv
P2_VXT03,sensor,sensors_delta_discrete_persistence,11.927102 - P2_VT01,11.927102 - P2_VT01,3.0,0.016562559,0.1799247825732463,0.2780556442836234,0.10307483045309723,0.1244607470455776,4.492202406915476,0.3572119765204999,0.07951822829055821,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P2_VXT03_sensors_delta_discrete_persistence/pareto_front_scored.csv
P2_VYT02,sensor,sensors_delta_discrete_persistence,(P2_VXT02 * -0.41835603) - 1.380281,P2_VXT02*(-0.41835603) - 1*1.380281,5.0,0.053306382,0.2638061329502298,0.3970885302765712,0.18488719480342317,0.24608845207969554,4.615932081515442,0.6452573280209754,0.13978917293972248,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P2_VYT02_sensors_delta_discrete_persistence/pareto_front_scored.csv
P2_VYT03,sensor,sensors_delta_discrete_persistence,P2_VT01 + -11.927317,P2_VT01 - 11.927317,3.0,0.027984407,0.1257027255104538,0.21162291003452527,0.1403886523719397,0.15343779630234672,3.5091260922178447,0.4184029192047116,0.11923279705810508,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P2_VYT03_sensors_delta_discrete_persistence/pareto_front_scored.csv
P3_FIT01,sensor,sensors_delta_discrete_persistence,(P4_HT_LD - P4_HT_PO) * -5.2027063,(P4_HT_LD - P4_HT_PO)*(-5.2027063),5.0,29569.271,0.0151990203824596,0.05134604178697466,66.61891341340356,56.70276692708333,33.512674471744255,732.4140834027891,21.854838354375858,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P3_FIT01_sensors_delta_discrete_persistence/pareto_front_scored.csv
P3_LCP01D,sensor,sensors_delta_discrete_persistence,14.995542 * (P4_HT_PO - P4_HT_LD),14.995542*(-P4_HT_LD + P4_HT_PO),5.0,23278.826,0.2379240121910353,0.423153934383825,85.94976405115108,113.39010416666666,17.914193444732447,588.3115828182054,32.84052863631405,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P3_LCP01D_sensors_delta_discrete_persistence/pareto_front_scored.csv
P3_LCV01D,sensor,sensors_delta_discrete_persistence,((P4_HT_PO * -29.37375) + 44.81829) - (P4_HT_LD * -28.095291),-(-28.095291)*P4_HT_LD + P4_HT_PO*(-29.37375) + 44.81829,9.0,20198.783,0.0218825906146707,0.7378142907653635,66.73819993752274,138.37118055555555,16.13997858223609,685.7824678519746,42.48967644893639,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P3_LCV01D_sensors_delta_discrete_persistence/pareto_front_scored.csv
P3_LIT01,sensor,sensors_delta_discrete_persistence,P3_PIT01 * 0.021494681,P3_PIT01*0.021494681,3.0,716.7886,0.3751752715531515,0.5236523021370829,21.21781468173939,24.67887912326389,3.9941025721860925,74.17090965812997,18.570106380000652,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P3_LIT01_sensors_delta_discrete_persistence/pareto_front_scored.csv
P4_HT_FD,sensor,sensors_delta_discrete_persistence,P4_HT_FD * -0.77319276,P4_HT_FD*(-0.77319276),3.0,4.1801695e-06,0.2250215632855456,0.36982799301484837,0.000619005338936243,0.0004922147899384931,45.02304183933175,0.009905069282015636,0.00022000000171829015,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P4_HT_FD_sensors_delta_discrete_persistence/pareto_front_scored.csv
