dataset,S,G,Prec,Rec,F1,eTaP,eTaR,eTaF1,FPA,Scen,num_monitored,num_sensors,num_actuators
BATADAL,0.3,12.0,16.69242658423493,96.1067853170189,28.444444444444443,8.0558562851845,98.26060249274535,14.890888979487348,686.0,100.0,42,30,12
BATADAL,0.3,15.0,16.67950693374422,96.32925472747496,28.435396486619602,7.675725970441505,98.36476915941202,14.240239302708083,676.0,100.0,42,30,12
BATADAL,0.3,20.0,16.625167592415245,96.55172413793103,28.366013071895424,7.582037319743752,98.48381677845964,14.080082238601143,658.0,100.0,42,30,12
BATADAL,0.3,25.0,16.53333333333333,96.55172413793103,28.232232883395675,7.252577651953199,98.48381677845964,13.510230464999998,641.0,100.0,42,30,12
BATADAL,0.4,0.1,16.87137891077636,80.97886540600668,27.92481779823552,11.93964212240478,91.46740784544737,21.122121090935217,1117.0,100.0,42,30,12
BATADAL,0.4,0.5,16.969147005444647,83.20355951056729,28.18918409647635,11.555787062246463,92.45465078234837,20.54382770605167,1072.0,100.0,42,30,12
BATADAL,0.4,1.0,16.719982938792917,87.20800889877643,28.060128847530425,11.049762290153035,94.08237526151659,19.776785796289996,933.0,100.0,42,30,12
BATADAL,0.4,1.5,16.871035940803385,88.76529477196885,28.353171078344285,10.851161781421986,94.73624950277687,19.47198737835956,918.0,100.0,42,30,12
BATADAL,0.4,2.0,17.021725374393586,89.76640711902112,28.617021276595743,10.454237826972369,95.22635299098064,18.840147161512924,917.0,100.0,42,30,12
BATADAL,0.4,2.16,17.09833649189303,90.32258064516128,28.753541076487256,10.307280576524539,95.4513474114538,18.60545731151141,914.0,100.0,42,30,12
BATADAL,0.4,2.5,17.139852786540484,90.65628476084538,28.829147506190306,10.112197649804347,95.58892924451435,18.2895712478094,913.0,100.0,42,30,12
BATADAL,0.4,3.0,17.333892265772374,91.99110122358177,29.171075837742507,9.585634264558982,96.14168816239486,17.43312966123224,910.0,100.0,42,30,12
BATADAL,0.4,3.5,17.395855139208706,92.43604004449388,29.28118393234672,9.145543896464412,96.29250675869218,16.70454531338865,908.0,100.0,42,30,12
BATADAL,0.4,4.0,17.454013377926422,92.88097886540601,29.385887735351048,8.999760161761442,96.43439678356093,16.463098250906846,906.0,100.0,42,30,12
BATADAL,0.4,4.5,17.47126436781609,92.99221357063404,29.415904292751584,8.921469376403138,96.47903964070377,16.33264973093484,906.0,100.0,42,30,12
BATADAL,0.4,5.0,17.508347245409013,93.32591768631812,29.485151994377084,8.570809147302825,96.66951583117996,15.745598860904565,903.0,100.0,42,30,12
BATADAL,0.4,6.0,17.53436068304873,93.65962180200222,29.538677425013155,8.338180976161706,96.81645222811636,15.354018658972521,898.0,100.0,42,30,12
BATADAL,0.4,7.0,17.539484621778886,93.88209121245829,29.55699527228156,8.40687541660002,96.97121413287829,15.472379878907889,890.0,100.0,42,30,12
BATADAL,0.4,8.0,17.559153175591533,94.10456062291435,29.595941927584395,8.260081625303863,97.13490460906876,15.225434708114099,887.0,100.0,42,30,12
BATADAL,0.4,9.0,17.548226509023024,94.10456062291435,29.58041958041958,8.294028882460767,97.13490460906876,15.283085537186345,885.0,100.0,42,30,12
BATADAL,0.4,10.0,17.56057154690412,94.3270300333704,29.608938547486037,8.073921713303646,97.37299984716398,14.91142588367932,881.0,100.0,42,30,12
BATADAL,0.4,12.0,17.536620590055705,94.54949944382648,29.585798816568047,7.921179778800265,97.47716651383065,14.651731975762253,873.0,100.0,42,30,12
BATADAL,0.4,15.0,17.516447368421055,94.77196885428253,29.56793336803748,7.961277611217292,97.58133318049732,14.721486938687988,862.0,100.0,42,30,12
