variant,target,variable_type,source,S,G,complexity,equation,holdout_r2,residual_tail_ratio,delta,threshold,growth_cap,max_train_cusum,max_test_cusum,total_alarm_rate,benign_alarm_rate,attack_alarm_rate,num_alarm_intervals,longest_alarm_interval
geco_matched_plus_actuator_persistence,P_J256,sensor,selected_sensor_delta,1.39,2.16,5.0,(4.201238 - L_T3) * 6.0064683,0.3197015694872337,3.904550168081942,8.431163749376763,15.73445913027397,33.94577282892778,11.319754769981275,10.390316873864949,0.0,0.0,0.0,0,0
geco_matched_plus_actuator_persistence,P_J289,sensor,selected_sensor_delta,1.39,2.16,5.0,L_T3 + (P_J300 * -0.15231189),0.25404529850996793,6.040316899547679,2.126504306095562,7.505535532797108,12.09878483396352,5.399665850933172,4.674685067619308,0.0,0.0,0.0,0,0
geco_matched_plus_actuator_persistence,P_J415,sensor,selected_sensor_delta,1.39,2.16,3.0,82.73172 - P_J415,0.4711623390450026,6.948374351067468,10.609020198594408,47.985504897129886,70.90098852609381,34.521945969158196,27.884655131755835,0.0,0.0,0.0,0,0
geco_matched_plus_actuator_persistence,P_J302,sensor,selected_sensor_delta,1.39,2.16,7.0,(S_PU8 + (L_T5 + -3.343674)) * 2.5377998,0.35730883248633993,4.438215667651566,4.24721539661027,13.952896703508761,23.126881960186942,10.038055182380404,23.126881960186942,0.018438697318007662,0.0002714440825190011,0.15447154471544716,10,28
geco_matched_plus_actuator_persistence,P_J306,sensor,selected_sensor_delta,1.39,2.16,5.0,(2.7484903 - L_T5) * 7.3260493,0.3262452518119333,3.602263886295136,10.582777581074764,16.47693664900465,39.33573622412614,11.853911258276726,27.939646807437626,0.0009578544061302681,0.0,0.008130081300813009,2,3
geco_matched_plus_actuator_persistence,P_J307,sensor,selected_sensor_delta,1.39,2.16,7.0,(L_T5 * 2.6905053) + (P_J307 * -0.3057421),0.4059912413169757,3.959460665546642,4.0887858203577006,12.709049848482108,21.54082722045474,9.143201329843244,21.54082722045474,0.01939655172413793,0.0005428881650380022,0.16056910569105692,11,31
geco_matched_plus_actuator_persistence,P_J317,sensor,selected_sensor_delta,1.39,2.16,3.0,67.91844 - P_J317,0.3768622058564455,4.939036745149259,7.515931709124317,42.09677537079651,58.33118786250503,30.28544990704785,58.33118786250503,0.017001915708812262,0.0024429967426710096,0.12601626016260162,2,54
geco_matched_plus_actuator_persistence,P_J14,sensor,selected_sensor_delta,1.39,2.16,5.0,(P_J422 * 0.4271824) + -12.582657,0.1636725399235337,10.745782704219174,3.605277546779343,14.874801017038752,22.662200518082134,10.701295695711334,22.662200518082134,0.00646551724137931,0.0,0.054878048780487805,5,8
geco_matched_plus_actuator_persistence,P_J422,sensor,selected_sensor_delta,1.39,2.16,5.0,(P_J300 * -0.15230241) + L_T3,0.2456647871840082,5.903007528222809,2.0275990476852326,7.005808159207308,11.38542210220741,5.040149754825402,4.521236868359633,0.0,0.0,0.0,0,0
geco_matched_plus_actuator_persistence,S_PU1,actuator,actuator_persistence,1.39,2.16,1.0,S_PU1,,,1e-06,1e-06,3.1600000000000002e-06,0.0,0.0,0.0,0.0,0.0,0,0
geco_matched_plus_actuator_persistence,S_PU2,actuator,actuator_persistence,1.39,2.16,1.0,S_PU2,,,0.23580629418937082,1.0622292510767746,1.5715708465258156,0.7641937058106292,1.2925811174318875,0.00023946360153256704,0.0,0.0020325203252032522,1,1
geco_matched_plus_actuator_persistence,S_PU3,actuator,actuator_persistence,1.39,2.16,1.0,S_PU3,,,1e-06,1e-06,3.1600000000000002e-06,0.0,0.0,0.0,0.0,0.0,0,0
geco_matched_plus_actuator_persistence,S_PU4,actuator,actuator_persistence,1.39,2.16,1.0,S_PU4,,,0.5393446629166316,0.640310918545882,1.8052953904458064,0.46065533708336837,0.46065533708336837,0.0,0.0,0.0,0,0
geco_matched_plus_actuator_persistence,S_PU5,actuator,actuator_persistence,1.39,2.16,1.0,S_PU5,,,1e-06,1e-06,3.1600000000000002e-06,0.0,0.0,0.0,0.0,0.0,0,0
geco_matched_plus_actuator_persistence,S_PU6,actuator,actuator_persistence,1.39,2.16,1.0,S_PU6,,,0.04154337795149001,2.6067641139422864,2.6964978103175046,1.87536986614553,2.6964978103175046,0.010296934865900383,0.0,0.08739837398373984,9,9
geco_matched_plus_actuator_persistence,S_PU7,actuator,actuator_persistence,1.39,2.16,1.0,S_PU7,,,0.6212850750281693,1.2420687285542231,2.584044490615069,0.8935746248591534,1.136144774915492,0.0,0.0,0.0,0,0
geco_matched_plus_actuator_persistence,S_PU8,actuator,actuator_persistence,1.39,2.16,1.0,S_PU8,,,0.5891372357600062,0.5710992422935913,1.8436356715352047,0.4108627642399938,0.4108627642399938,0.0,0.0,0.0,0,0
geco_matched_plus_actuator_persistence,S_PU9,actuator,actuator_persistence,1.39,2.16,1.0,S_PU9,,,1e-06,1e-06,3.1600000000000002e-06,0.0,0.0,0.0,0.0,0.0,0,0
geco_matched_plus_actuator_persistence,S_PU10,actuator,actuator_persistence,1.39,2.16,1.0,S_PU10,,,0.6193381364488211,1.0582399806722773,2.3960103554017307,0.7613237271023579,1.2839711813070736,0.00023946360153256704,0.0,0.0020325203252032522,1,1
geco_matched_plus_actuator_persistence,S_PU11,actuator,actuator_persistence,1.39,2.16,1.0,S_PU11,,,0.021820433909204722,2.689008790598616,2.736140927842498,1.9345386982723858,2.736140927842498,0.009578544061302681,0.0008143322475570033,0.07520325203252033,6,14
geco_matched_plus_actuator_persistence,S_V2,actuator,actuator_persistence,1.39,2.16,1.0,S_V2,,,0.32293480650869044,0.9411206189529202,1.6386598010116917,0.6770651934913096,0.6770651934913096,0.0,0.0,0.0,0,0
geco_matched_plus_actuator_persistence,L_T1,sensor,selected_sensor_delta,1.39,5.0,5.0,(F_PU1 * -0.018509276) - -1.8689289,0.6093577949599578,3.2443263748671884,0.20114243133850856,1.1474291263506295,2.1531412830431726,0.8254885801083667,2.1531412830431726,0.036159003831417624,0.004343105320304018,0.27439024390243905,6,76
geco_matched_plus_actuator_persistence,L_T2,sensor,selected_sensor_delta,1.39,5.0,3.0,S_V2 + -0.7296837,0.6329362486388168,3.732356656969232,0.3918758112377071,1.5027442815575256,3.462123337746061,1.0811109939262775,1.10903952010541,0.0,0.0,0.0,0,0
geco_matched_plus_actuator_persistence,L_T3,sensor,selected_sensor_delta,1.39,5.0,3.0,S_PU4 + -0.4228445,0.6321403815481337,6.739641591963922,0.3212550695335742,0.9755482808968546,2.5818236285647256,0.701833295609248,0.6359005449073437,0.0,0.0,0.0,0,0
