variant,S,G,num_monitored,monitored_sensors,monitored_actuators,Precision,Recall,F1,eTaP,eTaR,eTaF1,FPA,Scen,TP,FP,TN,FN,system_total_alarm_rate,system_benign_alarm_rate,system_attack_alarm_rate,system_num_alarm_intervals,system_longest_alarm_interval,threshold_min,threshold_max,growth_cap_min,growth_cap_max,max_test_cusum_max
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.0,20.0,39,14,25,12.917327246530988,96.97034308974607,22.797783428576636,2.9038667208074376,96.81140406484634,5.638603039304899,39006.0,100.0,50027,337259,61069,1563,0.8607924110615712,0.846686650197827,0.9697034308974607,40199,32224,1e-06,1e-06,2.1e-05,9.1082604022233,9.1082604022233
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.0,25.0,39,14,25,12.898438325315825,97.03430897460748,22.7701222882017,2.8888489918150926,96.90042139608428,5.610436544297665,38508.0,100.0,50060,338049,60279,1530,0.8626216332753969,0.8486699403506658,0.9703430897460749,39663,32264,1e-06,1e-06,2.6e-05,11.385325252779126,11.385325252779126
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.1,0.0,39,14,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,398328,51590,0.0,0.0,0.0,0,0,1e-06,144.12077451352442,1e-06,144.12077451352442,63.35953520982656
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.1,0.1,39,14,25,32.952537395156675,25.663888350455515,28.8550599875775,20.152296320174496,60.01956971647673,30.173481390164053,10443.0,100.0,13240,26939,371389,38350,0.08930293964678009,0.06763019421180534,0.25663888350455516,12968,1122,1e-06,144.12077451352442,1.1e-06,144.13748881050108,63.35953520982656
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.1,0.5,39,14,25,35.09761757755115,31.953867028493892,33.45204395336803,23.39606369052884,62.24280692155715,34.00877813090929,10296.0,100.0,16485,30484,367844,35105,0.10439457856765011,0.07652989496093672,0.31953867028493893,13091,1122,1e-06,144.12077451352442,1.5e-06,144.20434599840766,63.35953520982656
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.1,1.0,39,14,25,38.3349240937168,41.26187245590231,39.74458312717632,24.963699946375655,64.97667935341867,36.06963500751693,9914.0,100.0,21287,34242,364086,30303,0.1234202676932241,0.08596433090317528,0.41261872455902304,12504,1124,1e-06,144.12077451352442,2e-06,144.28791748329093,63.35953520982656
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.1,1.5,39,14,25,39.8281957452087,49.788718743942624,44.25492324391379,26.111890701153424,72.73929254243951,38.42868429540042,9037.0,100.0,25686,38806,359522,25904,0.1433416755942194,0.09742222490008234,0.4978871874394262,11440,1125,1e-06,144.12077451352442,2.4999999999999998e-06,144.37148896817416,63.35953520982656
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.1,2.0,39,14,25,42.078170229149144,57.199069587129294,48.48708911509296,26.679405689782826,73.34103232978624,39.12590654424082,8761.0,100.0,29509,40620,357708,22081,0.1558706253139461,0.10197626077001867,0.5719906958712929,10926,1125,1e-06,144.12077451352442,3e-06,144.4550604530574,63.35953520982656
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.1,2.5,39,14,25,43.16566609303364,63.692576080635774,51.45756500904371,26.220971454690016,73.96589189866111,38.71680328498094,8382.0,100.0,32859,43264,355064,18731,0.16919305295631648,0.108614006547368,0.6369257608063578,10213,1159,1e-06,144.12077451352442,3.4999999999999995e-06,144.53863193794066,63.35953520982656
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.1,3.0,39,14,25,44.49872875018695,69.20721069974802,54.16837346198777,24.768707561047986,74.42707914303358,37.16816246270913,8246.0,100.0,35704,44532,353796,15886,0.17833471877097604,0.1117973127673676,0.6920721069974801,9764,1186,1e-06,144.12077451352442,4e-06,144.6222034228239,63.35953520982656
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.1,3.5,39,14,25,45.04121433831389,73.50649350649351,55.85636010133742,22.984990227544305,74.6709163848548,35.15015820189519,8130.0,100.0,37922,46272,352056,13668,0.18713187736431972,0.1161655720913418,0.7350649350649351,9361,1187,1e-06,144.12077451352442,4.5e-06,144.70577490770714,63.35953520982656
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.1,4.0,39,14,25,45.63375410686495,76.72998643147896,57.230635775472585,21.00750800360004,74.82706311745851,32.80507459756308,8111.0,100.0,39585,47160,351168,12005,0.19280179943900888,0.11839489064288727,0.7672998643147897,9110,1187,1e-06,144.12077451352442,4.9999999999999996e-06,144.78934639259037,63.35953520982656
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.1,4.5,39,14,25,45.56624110623373,79.07540220973057,57.81645278098626,18.176978243690957,75.00616467943514,29.262490634074332,7998.0,100.0,40795,48734,349594,10795,0.19898959365928903,0.12234640798537888,0.7907540220973057,8750,1188,1e-06,144.12077451352442,5.5e-06,144.87291787747364,63.35953520982656
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.1,5.0,39,14,25,45.65982308257242,80.74239193642178,58.332574797470926,15.879624649430523,75.1330954178661,26.21799135556812,7905.0,100.0,41655,49574,348754,9935,0.20276805995759228,0.1244552228314354,0.8074239193642179,8498,1194,1e-06,144.12077451352442,5.999999999999999e-06,144.95648936235688,63.35953520982656
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.1,5.98,39,14,25,45.28681757656458,82.40550494281837,58.451173821881554,11.140306651315898,75.31184266954291,19.409512161473483,7810.0,100.0,42513,51362,346966,9077,0.20864913161953957,0.12894398586089856,0.8240550494281838,8183,2042,1e-06,144.12077451352442,6.98e-06,145.12028947272805,63.35953520982656
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.1,6.0,39,14,25,45.1775679092348,82.43264198488079,58.36690158725801,11.311775953266432,75.3574659613661,19.670802525317992,7629.0,100.0,42527,51606,346722,9063,0.20922256944598794,0.12955654636380068,0.824326419848808,7997,2042,1e-06,144.12077451352442,7e-06,145.12363233212338,63.35953520982656
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.1,7.0,39,14,25,44.528372557587865,82.95793758480326,57.951037209554244,7.942144994614073,75.54836311873115,14.373275898145115,7341.0,100.0,42798,53316,345012,8792,0.21362559399712835,0.1338494908718443,0.8295793758480325,7616,10065,1e-06,144.12077451352442,8e-06,145.29077530188985,63.35953520982656
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.1,8.0,39,14,25,43.90368695189464,83.16340376041869,57.46853924306657,6.832049100376107,75.74672347574005,12.53361651753451,7118.0,100.0,42904,54819,343509,8686,0.21720180121711066,0.13762276314996685,0.8316340376041869,7370,10070,1e-06,144.12077451352442,9e-06,145.45791827165635,63.35953520982656
