dataset,variant,S,G,point_kind,num_monitored,monitored_symbolic,monitored_persistence,Precision,Recall,F1,eTaP,eTaR,eTaF1,FPA,Scen,TP,FP,TN,FN
HAI,without_geco_ignored,0.3,20.0,grid,47,45,2,4.352023919520779,93.7073879512686,8.317749128193935,1.321714348790783,96.72649754435416,2.6077946194873465,7800.0,100.0,8384,184262,208791,563
HAI,without_geco_ignored,0.3,25.0,grid,47,45,2,4.33788778945851,94.1768190454901,8.293756059629212,1.1600232092364993,96.91939100214763,2.292606331135871,7726.0,100.0,8426,185816,207237,521
HAI,without_geco_ignored,0.4,0.1,grid,47,45,2,8.373053327041056,79.32267799262323,15.14721418890798,3.1500603879260534,89.73853259279716,6.086469559289054,11790.0,100.0,7097,77663,315390,1850
HAI,without_geco_ignored,0.4,0.5,grid,47,45,2,7.438643234103602,81.13334078462054,13.627830135546128,3.201425925002809,90.61790672831572,6.184365368308873,9237.0,100.0,7259,90326,302727,1688
HAI,without_geco_ignored,0.4,1.0,grid,47,45,2,6.871175866186557,82.96635743824746,12.69127528253176,3.131537274259596,91.42268384888924,6.055648045850314,7524.0,100.0,7423,100608,292445,1524
HAI,without_geco_ignored,0.4,1.5,grid,47,45,2,6.629999823717101,84.07287358891249,12.290749258584489,3.081862873457539,92.02497360385853,5.963995020448084,7144.0,100.0,7522,105932,287121,1425
HAI,without_geco_ignored,0.4,2.0,grid,47,45,2,6.470513093463913,84.92232033083715,12.024815623714112,3.070969801807771,92.44473686146516,5.944467253714759,6942.0,100.0,7598,109827,283226,1349
HAI,without_geco_ignored,0.4,2.5,grid,47,45,2,6.387872625903178,85.67117469542863,11.889250814332248,2.949577281005155,92.87109166383618,5.717565219493198,6750.0,100.0,7665,112328,280725,1282
HAI,without_geco_ignored,0.4,3.0,grid,47,45,2,6.31555693737625,86.27472895942773,11.76954920751092,2.771900632218188,93.15406369592162,5.383606197986829,6635.0,100.0,7719,114503,278550,1228
HAI,without_geco_ignored,0.4,3.5,grid,47,45,2,6.253331825598113,86.5317983681681,11.663766543882248,2.751204325250848,93.29459614623032,5.344793737572181,6555.0,100.0,7742,116064,276989,1205
HAI,without_geco_ignored,0.4,4.0,grid,47,45,2,6.197297815254887,86.74416005364927,11.568129140923691,2.720411950049236,93.42277339149362,5.286873494738374,6491.0,100.0,7761,117471,275582,1186
HAI,without_geco_ignored,0.4,4.5,grid,47,45,2,6.157633518297172,86.94534480831564,11.50076139505315,2.724453656834879,93.5201889758936,5.294661892310235,6452.0,100.0,7779,118552,274501,1168
HAI,without_geco_ignored,0.4,5.0,grid,47,45,2,6.122497055359246,87.146529562982,11.441190928633793,2.653009383774212,93.65261975987788,5.159849559102773,6404.0,100.0,7797,119553,273500,1150
HAI,without_geco_ignored,0.4,6.0,grid,47,45,2,6.072274191670225,87.42595283335196,11.35581655318593,2.593485658137633,93.794226415291,5.047406475191758,6356.0,100.0,7822,120993,272060,1125
HAI,without_geco_ignored,0.4,7.0,grid,47,45,2,6.041467697710958,87.67184531127752,11.303978152943804,2.583464508424981,93.91412095440728,5.028598325272975,6311.0,100.0,7844,121992,271061,1103
HAI,without_geco_ignored,0.4,8.0,grid,47,45,2,6.026144691800492,87.95126858164748,11.279456453185023,2.507439340999161,94.0399916739804,4.884636955570308,6281.0,100.0,7869,122712,270341,1078
HAI,without_geco_ignored,0.4,9.0,grid,47,45,2,6.012619642748278,88.18598412875825,11.257678121722751,2.530647529770984,94.14608645323992,4.9288086451568605,6252.0,100.0,7890,123334,269719,1057
HAI,without_geco_ignored,0.4,10.0,grid,47,45,2,6.007925542413799,88.4542304683134,11.251626111620569,2.487066885212913,94.26166791959886,4.846266430268835,6225.0,100.0,7914,123812,269241,1033
HAI,without_geco_ignored,0.4,12.0,grid,47,45,2,6.013190126248351,89.16955404046048,11.266611119741285,2.4093890767519954,94.56743152625133,4.699055611827014,6194.0,100.0,7978,124697,268356,969
HAI,without_geco_ignored,0.4,15.0,grid,47,45,2,5.992825018459542,89.806639096904,11.235876496252375,2.162342171990833,94.85753469489738,4.228297421636152,6166.0,100.0,8035,126042,267011,912
HAI,without_geco_ignored,0.4,20.0,grid,47,45,2,5.963130864124964,90.71197049290264,11.190623922785246,1.8687795604708,95.24701079269212,3.665638024836971,6139.0,100.0,8116,127987,265066,831
HAI,without_geco_ignored,0.4,25.0,grid,47,45,2,5.934655691336984,91.46082485749412,11.146071700991609,1.7042862014511777,95.55107642628852,3.348841167976531,6096.0,100.0,8183,129702,263351,764
HAI,without_geco_ignored,0.5,0.1,grid,47,45,2,12.755911460300672,75.48899072314742,21.824056870506503,4.81293519571312,88.08950613610311,9.12718930477107,7432.0,100.0,6754,46194,346859,2193
HAI,without_geco_ignored,0.5,0.5,grid,47,45,2,11.393115284332817,77.16553034536716,19.85477029261629,5.019413234392417,88.8737357047657,9.50216304866843,5678.0,100.0,6904,53694,339359,2043
HAI,without_geco_ignored,0.5,1.0,grid,47,45,2,10.5726411428913,79.07678551469766,18.65155209912344,5.455502432744967,89.71844422795235,10.285570955518924,4270.0,100.0,7075,59843,333210,1872
HAI,without_geco_ignored,0.5,1.5,grid,47,45,2,10.238888332928276,80.04917849558511,18.155546542283517,5.404788568078047,90.2289968045558,10.198668776692864,4033.0,100.0,7162,62787,330266,1785
HAI,without_geco_ignored,0.5,2.0,grid,47,45,2,9.973684573097644,80.90980216832457,17.75831616131881,5.382061990791,90.65611237100596,10.160893204545491,3936.0,100.0,7239,65342,327711,1708
HAI,without_geco_ignored,0.5,2.5,grid,47,45,2,9.818030207254584,81.59159494802726,17.52701080432173,5.217361634481085,90.98968214308434,9.86884240710156,3798.0,100.0,7300,67053,326000,1647
HAI,without_geco_ignored,0.5,3.0,grid,47,45,2,9.687487653589349,82.21750307365598,17.332704995287465,4.950137221330098,91.29642768166508,9.39108518412002,3756.0,100.0,7356,68577,324476,1591
HAI,without_geco_ignored,0.5,3.5,grid,47,45,2,9.584063331386671,82.54163406728512,17.174019208855608,4.927390203483901,91.49747563126384,9.351192997077106,3716.0,100.0,7385,69670,323383,1562
HAI,without_geco_ignored,0.5,4.0,grid,47,45,2,9.505366967182631,82.84341119928467,17.053978187842254,4.771004165862711,91.65475170625264,9.069883834596911,3689.0,100.0,7412,70565,322488,1535
HAI,without_geco_ignored,0.5,4.5,grid,47,45,2,9.448398576512457,83.08930367721024,16.967373069944195,4.742471025178348,91.75723644788178,9.018805271010809,3661.0,100.0,7434,71246,321807,1513
HAI,without_geco_ignored,0.5,5.0,grid,47,45,2,9.405697136300011,83.3687269475802,16.904249291784705,4.617353373314783,91.9123104541331,8.792978238962284,3632.0,100.0,7459,71844,321209,1488
HAI,without_geco_ignored,0.5,6.0,grid,47,45,2,9.338118916763252,83.74874259528333,16.80270888460331,4.5227519104205385,92.07532386904668,8.621990522503502,3618.0,100.0,7493,72748,320305,1454
HAI,without_geco_ignored,0.5,7.0,grid,47,45,2,9.276023680315737,84.06169665809769,16.70832083708221,4.472974768840281,92.226988787788,8.53214372955396,3615.0,100.0,7521,73559,319494,1426
